iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
MOZ,170,Mozambique,State,air_pollution_pm25_1998-2023,16122639.832007429,17344887.783022914,33765765.03042519,789492.8487845617
MWI,152,Malawi,State,air_pollution_pm25_1998-2023,9570785.23001458,10332558.442614015,21364800.04979633,118907.64437502096
MRT,159,Mauritania,State,air_pollution_pm25_1998-2023,2465858.802669525,2509825.9873942863,5054053.021652731,1039572.2016665876
NAM,172,Namibia,State,air_pollution_pm25_1998-2023,1267636.921986836,1268276.2367407666,2949995.5281335344,825988.2365245576
NER,181,Niger,State,air_pollution_pm25_1998-2023,14400380.534801,14400380.534801006,26793747.33668633,1186172.0096356047
MYS,153,Malaysia,State,air_pollution_pm25_1998-2023,8404933.725789838,9337446.095826345,34831578.590280674,331233.5338099853
NLD,177,Netherlands,State,air_pollution_pm25_1998-2023,3277629.8645233894,3317680.633177772,18029909.14211523,35051.620999048515
NGA,182,Nigeria,State,air_pollution_pm25_1998-2023,109494921.52179742,110642672.82595988,229602955.22762072,914421.4868789336
NPL,175,Nepal,State,air_pollution_pm25_1998-2023,10250179.137424322,10250380.76052714,29642061.05948545,147827.55467917174
NOR,186,Norway,State,air_pollution_pm25_1998-2023,882227.3982500944,1015530.0568755262,5123131.223897943,322110.9052925733
OMN,187,Oman,State,air_pollution_pm25_1998-2023,1041533.1225782376,1426698.4030115118,5015295.953208735,309185.96696268127
PAK,188,Pakistan,State,air_pollution_pm25_1998-2023,107698641.00141571,107750534.1087314,248700283.38779023,794617.7448061238
PHL,275,Philippines,State,air_pollution_pm25_1998-2023,30432099.345496543,38920920.68168253,111747457.38693188,296412.6567529354
PNG,274,Papua New Guinea,State,air_pollution_pm25_1998-2023,3308330.2554160138,3771705.4209643,9642352.64026671,465365.1681464113
POL,198,Poland,State,air_pollution_pm25_1998-2023,6936770.889965882,6980330.991230039,38556859.43418746,310724.3940478374
PRK,67,Democratic People's Republic of Korea,State,air_pollution_pm25_1998-2023,5344738.559026149,5968303.7754671965,26296509.18734705,122517.2738601824
PRT,199,Portugal,State,air_pollution_pm25_1998-2023,1483117.7347271782,1561451.171260756,9846609.965714457,88539.91055093665
PSE,3000,State of Palestine,State,air_pollution_pm25_1998-2023,2443002.4778768634,2443377.101390832,5402734.348390189,6147.8781860534
QAT,201,Qatar,State,air_pollution_pm25_1998-2023,284377.87288039457,525150.8330377394,3007344.2949948334,11670.584359064049
ROU,203,Romania,State,air_pollution_pm25_1998-2023,3596846.123683141,3678230.56968678,19057570.685911324,237808.2490989319
NZL,179,New Zealand,State,air_pollution_pm25_1998-2023,889482.3988527284,1136542.5251484124,5064248.282797882,268235.08238512685
RWA,205,Rwanda,State,air_pollution_pm25_1998-2023,6245930.872546429,6267135.85694935,14097780.61437473,25407.985907538976
