iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
UMI,127,Jarvis Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,4.79513108467015
UMI,112,Howland Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,2.3065881924277747
UMI,22,Baker Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,1.769700524314221
UMI,164,Midway Islands,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,6.686700660818622
UMI,134,Kingman Reef,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,0.6108099083862368
MNP,185,Northern Mariana Is. (USA),Territory,drought_spei_copernicus_1940-2024,1192.3437325214572,12205.096576654669,41878.494703674914,479.4018548275545
UMI,129,Johnston Atoll,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,2.630140272174739
UMI,265,Wake Island,Territory,drought_spei_copernicus_1940-2024,0.0,0.0,0.0,8.252042741932266
PCN,197,Pitcairn,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.0,5.132757997140288,20.357013451585583,53.393323719307205
PYF,87,French Polynesia,Non-Self Governing Territory,drought_spei_copernicus_1940-2024,49793.98136975227,65454.89101773392,234407.3198617399,3793.492092240512
FLK,81,Falkland Islands (Malvinas),Non-Self Governing Territory,drought_spei_copernicus_1940-2024,0.3748703157973211,208.06830858066655,1805.9056556603384,11990.025812600989
BOL,33,Bolivia (Plurinational State of),State,drought_spei_copernicus_1940-2024,1903384.51160514,4394806.995631343,12311327.341311123,1087577.4524931756
BLZ,28,Belize,State,drought_spei_copernicus_1940-2024,11331.319650158486,133344.08516904924,403465.63457591634,22224.57502367604
SUR,233,Suriname,State,drought_spei_copernicus_1940-2024,570.748822655044,195175.26057338997,630537.7498989897,145501.4173913337
PRY,194,Paraguay,State,drought_spei_copernicus_1940-2024,2261526.9181899205,2361024.731337233,7007412.950467329,400187.3997000028
ECU,73,Ecuador,State,drought_spei_copernicus_1940-2024,3415042.663760612,5412111.231325219,17981501.774913546,257664.97021865656
ARG,12,Argentina,State,drought_spei_copernicus_1940-2024,7088144.699988852,11994301.25780063,45121026.64519446,2780727.3520991383
NIC,180,Nicaragua,State,drought_spei_copernicus_1940-2024,6133.0999425932105,2382957.4848574656,6844251.065995058,128847.82268211548
