ucode,ISO3,combination_id,population,combination,hazardCount,hazardLevel
IND_V1,IND,244,1383.6257538623177,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
LBY_V1,LBY,179,1365.1003874096787,River Flood + Coastal Flood + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
MMR_V1,MMR,59,1360.7835304419966,River Flood + Coastal Flood + Drought + Heatwave + Extreme Heat,5,Multiple
UZB_V1,UZB,241,1357.6216759248446,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
TUR_V1,TUR,185,1357.609308946775,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
LAO_V1,LAO,181,1340.056286742622,River Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
CUB_V2,CUB,62,1337.843089187607,Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
NGA_V1,NGA,233,1337.6327046528459,River Flood + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
ESP_V1,ESP,157,1334.9989880358748,River Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
LKA_V1,LKA,124,1321.7410393665195,Tropical Storm + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
HND_V1,HND,93,1318.7614149792248,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
CUB_V2,CUB,61,1302.7853646869487,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
OMN_V1,OMN,61,1275.4185347766615,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
PHL_V1,PHL,47,1266.8151309017558,River Flood + Coastal Flood + Tropical Storm + Drought + Extreme Heat,5,Multiple
PRK_V1,PRK,31,1265.2703034453752,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
BRA_V1,BRA,241,1262.3653923070747,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
VEN_V1,VEN,31,1249.8309965168203,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
MOZ_V1,MOZ,188,1199.5643977541476,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
OMN_V1,OMN,173,1197.8267780556343,River Flood + Tropical Storm + Drought + Extreme Heat + Sand and Dust Storm,5,Multiple
MDG_V1,MDG,244,1183.4240004643798,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
GNB_V1,GNB,121,1160.708939069882,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
AUS_V1,AUS,188,1139.1464028255907,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
VEN_V1,VEN,244,1124.3224766862659,Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
ZAF_V1,ZAF,188,1120.9716867447132,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
SOM_V1,SOM,151,1113.669824255214,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
PRT_V1,PRT,93,1108.727786106735,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
RUS_V1,RUS,248,1083.6880914516723,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
KWT_V1,KWT,248,1082.172192094382,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,87,1059.6446070139557,River Flood + Coastal Flood + Tropical Storm + Heatwave + Fire,5,Multiple
CHN_V1,CHN,205,1056.9176779714471,River Flood + Tropical Storm + Drought + Fire + Sand and Dust Storm,5,Multiple
IRN_V1,IRN,181,1047.9711915941443,River Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
TJK_V1,TJK,248,1044.694166147307,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
VNM_V1,VNM,103,1033.5350689867046,River Flood + Coastal Flood + Tropical Storm + Extreme Heat + Fire,5,Multiple
DZA_V1,DZA,61,951.6844960192944,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat,5,Multiple
CHN_V1,CHN,248,935.625400885765,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
GUY_V1,GUY,31,935.5826142779601,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
IND_V1,IND,158,924.1698182091957,Coastal Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
LAO_V1,LAO,188,903.8324052011594,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,241,894.7528864339242,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
DOM_V2,DOM,87,884.6907844680343,River Flood + Coastal Flood + Tropical Storm + Heatwave + Fire,5,Multiple
JAM_V2,JAM,31,877.3751196405856,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
CUB_V2,CUB,94,872.8516423434367,Coastal Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
TUN_V1,TUN,248,854.6991351770703,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
TKM_V1,TKM,179,839.0384448179975,River Flood + Coastal Flood + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
SOM_V1,SOM,182,824.2647867452865,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
MMR_V1,MMR,118,818.3967088537328,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
CHN_V1,CHN,173,798.8099054998165,River Flood + Tropical Storm + Drought + Extreme Heat + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,143,763.3342657272187,River Flood + Coastal Flood + Tropical Storm + Drought + Sand and Dust Storm,5,Multiple
MOZ_V1,MOZ,31,737.8786046678766,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
EGY_V1,EGY,233,736.1634106977017,River Flood + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,167,718.8637786319189,River Flood + Coastal Flood + Tropical Storm + Extreme Heat + Sand and Dust Storm,5,Multiple
ZAF_V1,ZAF,185,707.1400696410064,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
MEX_V1,MEX,217,702.8347165306332,River Flood + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
AZE_V1,AZE,121,701.902087667424,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
LBY_V1,LBY,186,700.6973830522969,Coastal Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
GTM_V1,GTM,121,695.3466089996509,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
NIC_V1,NIC,93,685.4478531750734,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
ZAF_V1,ZAF,220,668.5083788144402,Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
SSD_V1,SSD,185,666.8309169113636,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
SWZ_V1,SWZ,188,661.300829073778,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
PHL_V1,PHL,87,656.5031704792054,River Flood + Coastal Flood + Tropical Storm + Heatwave + Fire,5,Multiple
FRA_V1,FRA,31,652.1710108424849,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
USA_V1,USA,220,649.786982618776,Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm,5,Multiple
CHN_V1,CHN,188,647.1716263374256,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
PNG_V1,PNG,93,643.7680870555341,River Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
JOR_V1,JOR,121,639.13996495885,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
OMN_V1,OMN,236,625.3425696752965,Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
PRT_V1,PRT,188,623.3036053467465,Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
EGY_V1,EGY,241,621.6634648057482,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
BGD_V1,BGD,157,620.3559168986976,River Flood + Tropical Storm + Drought + Heatwave + Sand and Dust Storm,5,Multiple
HND_V1,HND,55,612.4464641205345,River Flood + Coastal Flood + Tropical Storm + Heatwave + Extreme Heat,5,Multiple
GRC_V1,GRC,121,611.7753819185309,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
GBR_V1,GBR,31,610.1904355540755,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
ZWE_V1,ZWE,121,606.289810630054,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
VNM_V1,VNM,118,598.441136726328,Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Fire,5,Multiple
BGD_V1,BGD,236,592.626578271389,Tropical Storm + Drought + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
TZA_V1,TZA,241,579.0515348985791,River Flood + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
SAU_V1,SAU,121,573.0963802024198,River Flood + Drought + Heatwave + Extreme Heat + Fire,5,Multiple
IND_V1,IND,94,571.6190616788781,Coastal Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
AUS_V1,AUS,185,564.8523208940896,River Flood + Drought + Heatwave + Extreme Heat + Sand and Dust Storm,5,Multiple
USA_V1,USA,94,558.6564483975445,Coastal Flood + Tropical Storm + Drought + Heatwave + Fire,5,Multiple
AUS_V1,AUS,248,557.978285446634,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
MMR_V1,MMR,151,551.0254787914455,River Flood + Coastal Flood + Tropical Storm + Heatwave + Sand and Dust Storm,5,Multiple
ZWE_V1,ZWE,248,549.0076455465087,Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm,5,Multiple
RUS_V1,RUS,31,547.256592171022,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave,5,Multiple
