system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
1603,ESP,Tropical Storm + Drought + Heatwave + Sand and Dust Storm,156,4,Multiple,89490.88975311113,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,AGO,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,89131.50152909849,"{""type"":""MultiPoint"",""coordinates"":[]}"
1501,EGY,Heatwave + Extreme Heat + Fire + Sand and Dust Storm,240,4,Multiple,88698.80994608073,"{""type"":""MultiPoint"",""coordinates"":[]}"
8528,PHL,River Flood + Tropical Storm + Drought + Extreme Heat,45,4,Multiple,88588.05177890544,"{""type"":""MultiPoint"",""coordinates"":[]}"
4715,THA,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,87397.06242218542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1661,ETH,River Flood + Heatwave + Extreme Heat + Fire,113,4,Multiple,87204.91717386585,"{""type"":""MultiPoint"",""coordinates"":[]}"
1671,ETH,Drought + Heatwave + Extreme Heat + Sand and Dust Storm,184,4,Multiple,86890.90086495187,"{""type"":""MultiPoint"",""coordinates"":[]}"
1435,EGY,River Flood + Coastal Flood + Heatwave + Extreme Heat,51,4,Multiple,85773.15835327655,"{""type"":""MultiPoint"",""coordinates"":[]}"
2641,MAR,River Flood + Tropical Storm + Drought + Heatwave,29,4,Multiple,85156.80412952075,"{""type"":""MultiPoint"",""coordinates"":[]}"
10165,CUB,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,82742.54115185565,"{""type"":""MultiPoint"",""coordinates"":[]}"
5718,ZAF,Tropical Storm + Drought + Heatwave + Extreme Heat,60,4,Multiple,79459.47664042225,"{""type"":""MultiPoint"",""coordinates"":[]}"
3529,MYS,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,78638.35354339847,"{""type"":""MultiPoint"",""coordinates"":[]}"
1331,DZA,River Flood + Drought + Heatwave + Extreme Heat,57,4,Multiple,78552.2298313777,"{""type"":""MultiPoint"",""coordinates"":[]}"
2582,LBY,Drought + Heatwave + Extreme Heat + Fire,120,4,Multiple,76882.39980920404,"{""type"":""MultiPoint"",""coordinates"":[]}"
8025,LAO,River Flood + Tropical Storm + Heatwave + Extreme Heat,53,4,Multiple,76819.62090247331,"{""type"":""MultiPoint"",""coordinates"":[]}"
2752,MDG,Tropical Storm + Drought + Heatwave + Fire,92,4,Multiple,74894.92784356324,"{""type"":""MultiPoint"",""coordinates"":[]}"
