iso3,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
MLI,4.130418409311231,1.0,1.0,4.296626263314214,4.212677652326797,9.316779393822438,4.044258738826115,5.467015698835966,9.311700744413796,3.0439285664778266
MEX,3.973571856103477,2.5500265694695043,5.738177218798376,7.371734180226031,5.872553395625106,5.194825990525545,4.9862879704163205,3.3464300006907526,9.641839142614304,1.9752459895920496
GEO,2.962131507370771,2.0100187995303522,1.0,3.96124241287994,3.5245683486470574,2.296606273268822,2.2275973942464833,1.7593962212587948,8.332680652468465,1.0
ISR,1.84947800847738,1.3225728556419223,1.0,2.9258169644121192,6.738226541887094,4.097203783627418,3.1129380453555657,3.4183185042584943,8.710167316617719,1.0
EST,2.047083675038388,1.1748511985562093,1.0,1.5764880606843712,4.788845983641473,1.0,2.015628183052478,1.484516494731681,7.680800116757335,1.0
CHL,2.984860978044265,1.6531148658459522,1.0,5.882760027571935,3.0243106498358423,1.0,5.605844922667751,3.3709329635318244,8.855226348761889,1.0
xxx,1.1040316301833406,1.0,1.0,2.209521194708162,2.794620946078208,1.0,1.0,4.481014970808489,4.420861737040046,1.0
CHN,7.123450352520701,6.850461431157514,7.729015006348963,5.021344988414897,5.2983078982447145,5.647007225241701,3.801150425809873,2.962947754894121,9.862086826798597,1.8898653619201917
GIB,1.2585475454383481,1.0,6.117402861721279,1.0,1.0,1.0,1.3753197472708991,2.4600221244486256,,1.0
JPN,5.749258533572297,9.296945839405648,9.405634992809237,3.863097648568033,5.86233869025966,1.0,2.884978302025959,2.057797023074995,8.774491599363596,1.0
BRN,3.9070699442970613,1.405772066133708,1.0,1.3297669870912499,3.6374822901052593,1.0,2.4827657443182147,1.1244676309165351,6.214675739823152,1.0
BGR,2.5886163984729462,1.169992951268724,1.0,2.931079807943583,4.821881026166627,1.0,2.7443408975315724,1.1103221170794808,8.184973544458298,1.0
BDI,2.238320375814428,1.0,1.0,1.7035574971612009,4.35071884197435,1.0,3.5068189761332866,1.847669949571987,9.106700591172382,2.956702807675078
ETH,2.60545026174719,1.0,1.0,6.398192205451178,6.676884335710781,3.6594809994049142,4.198288836389884,4.355654410628004,9.80676143787509,8.984198960123436
PRK,4.26735690385915,2.3679862080847776,9.036569123322439,1.6343594004918887,2.758195620141197,1.0,2.987546460661472,1.7726546696393763,8.626415405768485,3.4233978154814437
DNK,1.5718141391451688,3.329328551307247,1.0,5.397013289825912,4.4420921343653355,1.0,2.0645662676107985,1.7552271201415055,7.705186466489524,1.0
MOZ,3.549623127782452,2.435248299370574,8.136696683020576,4.694668191259537,5.4155987370554595,5.9276298249993085,7.265730266109165,2.3178454111383857,8.991904958139262,3.0567030193971076
xSR,1.0,1.0,1.0,,1.0,,,1.0,,1.0
PAN,3.0271797324369962,1.9912250852326567,1.0,4.896641685074551,5.178349117956859,2.2121699317481047,2.3488299969573605,1.3698327866129232,8.275582749756843,3.086127132126025
CRI,2.2759233209698446,1.8282617585114551,5.892472543886927,3.063488252936117,4.962079086338017,2.4074359986986935,2.6635593162336875,1.0,8.349143080465666,1.4540482236888688
HRV,3.269681611311846,1.7857416049121637,1.0,3.4146087805213985,3.6254577042387135,1.0,2.7421492803866094,1.1305668089483454,8.138424437228293,1.0
PRT,2.360745599955782,1.9562023528837769,8.555080517972142,1.7660445097313437,3.4956078441885508,2.5485213183861526,6.201522868837623,1.9329155491491203,8.240947822899187,1.0
QAT,1.9938501233520607,1.6170562505799695,1.0,1.3751540766004866,2.8865184428992388,7.813599446517704,1.965402156852807,7.366057486733156,6.032728231757607,1.0
KOR,3.971758763384111,2.436115064477779,9.077434359920554,2.4423932379349886,2.980010940185014,1.0,2.699524049995745,2.0832975299794216,8.738799039902633,1.0
ROU,3.279133512678312,1.6957334330626184,1.0,4.134376151525314,6.091985078851947,1.0,2.527569078002539,1.640548157375679,8.764944246973728,1.0
REU,1.0,1.0,7.759941646745923,1.0,3.637225684294508,1.0,1.6151341081496318,1.7310153961099624,6.409150877980141,1.0
SAU,3.4428799912595323,2.2196888447489203,1.0,3.3005799280009094,6.012332948020784,8.70944817312404,3.1492627040359253,9.665514873843321,8.9271604110903,1.7252727168575
SVN,2.457626105665439,1.2793164329896107,1.0,3.4554983880328476,3.8437223779025063,1.0,2.0471280318711513,1.3773244121735477,7.973865519276679,1.0
LKA,3.518243456352603,1.9758059649235546,9.04535970304619,5.578887295960644,3.90913225809285,4.913438164573538,2.339629410628632,1.8618348264826559,8.61177028545278,1.0
SWE,2.9190546604163536,2.1227407368090603,1.0,4.906524995069747,6.978327842114573,1.0,2.280967438280949,1.3918437026833035,8.285817779920546,1.0
NLD,6.121337206442476,9.154815345705334,1.0,4.9165932513309745,4.7158974432012695,1.0,2.316912470039537,1.6328307796683388,8.76859496292002,1.0
SRB,3.7695380138890098,1.0,1.0,2.2308259574785,4.569338894737787,1.0,2.4205703562362917,1.0,8.54506080001423,1.0
GTM,2.489502658246475,1.944112779607781,5.340425621857667,3.6272127750958485,4.2825015978771415,3.050278533548206,4.745208633643427,1.0,9.079784158250977,4.281887109052277
