iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,pluvial_flood_absolute,pluvial_flood_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
NAM,5.357689503614448,1.4684916882435088,7.173756505304514,9.996381193893397,1.9603445054187523,1.0,5.673556704309107,1.8175412677878118,6.1548284934564474,2.810821796146987,7.014979395162074,8.030779749514203,6.802966958575909,3.9787790703136996,5.76399670177646,2.3879952379562366,7.155148278807806,9.278871538516986,7.254295192212767,8.964131942467302,5.05590258150588,1.2183264861186611,5.186935161120631,1.2169604152717053,6.197727506914809,4.069985731688686,7.014354817152261,4.561597385268541,1.0,1.0,6.926484534781586,7.126170411473234,1.0,1.0
KEN,8.62766582789257,5.353848813858723,9.063898709413357,9.59209552694897,2.7211694766826273,1.0,6.614811583438996,1.1113673396628374,6.539389960895829,1.0892533261259334,7.675949108583785,1.9403559555929148,8.968060664868819,3.2554605016832574,6.644994730774583,1.0,9.077117155942425,9.167327833443853,9.24700953308993,9.243844332514998,1.0,1.0,6.499390256261549,1.0,6.480386672027887,1.0766239470414891,8.619820100788205,2.4307193968188177,1.0,1.0,8.97349853835103,8.467027627106676,4.011268037713105,1.0
KWT,4.403660887550345,1.0666064610788728,6.602337592618381,5.51280039019689,4.534920447414155,1.0,6.971752321152245,9.025882502776023,5.809225633254984,2.271685320121964,6.933376909318527,8.56154595976311,5.463947915964893,1.4445136442714714,5.521215969921375,2.169411058732465,6.967273599432808,8.561450717291779,7.088241709423457,8.56154595976311,3.9516853962167873,1.0,5.877088918635252,2.0819175144361814,5.4055453488609935,2.0331716053263573,6.903448548285498,4.760323196587667,1.0,1.0,1.0,1.0,1.0,1.0
KGZ,7.473178365010671,7.836022229678652,7.643440805357628,9.905085285208909,1.0,1.0,7.45688042747968,7.664872333288067,7.5250837215971735,8.410527676115324,6.035742097316293,1.671608797552755,6.299548261043129,1.5350564484207871,5.391832250702851,1.1789228955218178,5.218359389941948,1.118670831701546,6.246561076318221,1.767760091528844,6.986174273253869,3.617491169934997,4.94001784829798,1.0,5.362550291907464,1.2674322251422871,6.235744652241351,1.4657401546527604,1.0,1.0,1.0,1.0,1.0,1.0
LAO,7.0175284162339455,4.238649254529352,7.670122959859242,9.975799525921536,1.0,1.0,6.546400662628981,2.5245704435583503,5.500351442201604,1.2333822209856449,7.267407624613529,5.79530811391178,8.450837388662062,10.0,7.837556983862871,10.0,7.649499025248465,9.198298112264066,7.752884996514423,8.817884846651541,1.0,1.0,6.160990313272791,1.516065685455666,6.7099266292726405,4.067257769850567,4.166769489252326,1.0,7.3645908411480505,6.581422093223406,7.26470564225483,5.77508354106299,7.376619238890193,6.687826925937979
LVA,4.988322619551921,2.105409892863528,6.3044439254198466,9.930226247138426,2.6799505668106054,1.0,4.552074383090703,1.5214622208190218,4.3105116464669955,1.3317332589498891,1.0,1.0,4.6563862341905216,1.5436741182506704,1.737150751468434,1.0,6.293545103727894,9.380274770344865,6.343845093146264,8.687822283881154,4.01974905114294,1.1548248293324943,4.794310661797733,1.731360357565675,5.300704440159004,4.0383145215475,1.2830122622314235,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSO,6.764830297030253,7.5413122338883,6.9702527532628284,10.0,1.0,1.0,2.284368789623417,1.0,1.1111274330127276,1.0,1.0,1.0,5.924651261325743,2.194441540062138,1.729237103569993,1.0,7.002059288189939,9.968016855348793,7.126080035658772,10.0,1.0,1.0,4.613832168278382,1.064222739444921,3.8346644713106364,1.0,4.84230661085596,1.1129773234322258,1.0,1.0,1.0,1.0,1.0,1.0
FLK,1.0,1.0,1.0691055675894279,4.971063578697515,1.0,1.0,1.5628648009333324,9.57690961660985,1.4705248125332897,8.431376658325998,1.0,1.0,1.0,1.0509713848667839,1.0,1.0,1.0,1.0,1.0,1.018461039875869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FRO,1.0,1.0,3.4398446671414646,4.478307221880801,1.0,1.0,2.8028901527364667,2.2516596346012245,1.0,1.0,1.0,1.0,,,,,2.9855887731290105,2.6557754386059638,1.0,1.0,1.0,1.0,1.7013532353477183,1.2763218023078795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FIN,4.576483679446675,1.131227635598191,6.925842235283074,9.091089584829238,3.5210824501356868,1.0,5.2959968887108095,1.579431997956862,5.283160302755324,1.5663522923975803,1.0,1.0,3.6578062008424173,1.0,1.1427766939643624,1.0,6.581877674537852,5.505369294273309,6.857688304817264,6.771686408143141,6.257609755908419,3.389721677943699,5.59211757387969,1.7465459572042374,5.354354900114874,2.0358297456024697,2.3832291333340234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
