iso3,agricultural_drought_absolute,agricultural_drought_relative,air_pollution_absolute,air_pollution_relative,coastal_flood_absolute,coastal_flood_relative,drought_spei_absolute,drought_spei_relative,drought_spi_absolute,drought_spi_relative,extreme_heat_absolute,extreme_heat_relative,fire_FRP_absolute,fire_FRP_relative,fire_frequency_absolute,fire_frequency_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,sand_dust_absolute,sand_dust_relative,tropical_storm_absolute,tropical_storm_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
VNM,8.926706064548103,7.187162458714976,9.075456908880057,8.797573846341379,9.234566664618495,10.0,8.585835730436752,4.629402981717663,8.391329955156946,3.6690894640144336,8.759058410728322,5.762659353756338,7.414690292291934,1.0200060508684174,7.875583613188659,2.1559225610839485,8.780594168028134,5.596647526602373,9.114221352741227,7.007788379825948,6.01518384834009,1.0,8.87180038186295,9.019457451555002,6.429715207181292,1.0,9.167030340804518,9.988183498797682,5.082928016797784,1.0,4.973378810790949,1.0
TGO,7.683554782132294,6.779224649475835,7.925627754652819,9.421058818804278,2.1597575899284402,1.0,7.7750900760348785,7.664809103030946,7.24967060787888,3.9248169058682705,7.676548703511248,6.7164312253653815,5.272267149970139,1.0,7.732301690416015,8.274604467808107,7.915061257532079,8.793921383533707,8.087592215351691,9.185011145655386,1.0,1.0,5.200633703443602,1.033762120615983,3.8886978001688077,1.0,1.0,1.0,7.966829731995503,9.976808014533079,1.0,1.0
ESH,1.0,1.0,5.672385524789649,8.574342688834443,3.5538228683550166,1.8198792183561894,4.895270362677967,3.234233813043081,4.448048414692879,2.079402980279454,5.19351259978097,4.584264084270114,1.0,1.0,1.0,1.0,4.090554888299752,1.5671517936036081,3.8226796366096036,1.3104404053815875,5.272586300363871,4.531563475770172,4.301772238390354,2.446305355749542,6.53896296066768,10.0,5.736868347183732,9.371908359685538,1.0,1.0,1.0,1.0
ZMB,7.418410572403216,2.567771693831888,8.518586959602974,9.887796643183412,1.0,1.0,8.098316107466776,5.619223906575899,7.928270285859524,4.537107706753636,7.262350177049878,2.214427613410472,8.284163137243095,3.302436263986303,8.915084401476225,10.0,8.257131450040719,6.5509348023249885,8.331716687453975,5.970876600531219,1.0,1.0,6.100440227711589,1.1692061419624553,3.8371095341467947,1.0,1.0,1.0,8.526677297119932,9.99999961975399,1.0,1.0
SHN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6716746157993945,6.056896245535025,1.0,1.0,1.0,1.0,1.0,1.0
IDN,9.021884413079505,3.3275408088541596,9.816418783937891,9.098011799646116,7.473552900890083,1.0,9.71576899246552,7.925692452205074,9.437526574645043,5.486627972844604,8.103284249949166,1.499478181373699,8.98197641888095,1.4652468404533012,8.564267599581175,1.9517972832410861,9.6794966850064,7.061830800117104,9.90567558028562,7.542098884580767,5.165984579236568,1.0,8.424994698131457,2.219250258122277,5.596826944845299,1.0,7.608990848418282,1.1855354715193471,8.855394990043798,2.7821183770338846,8.876179171599526,2.8430663207947404
SEN,8.126244311730197,7.028479192682737,8.361195986082654,9.686017383437648,5.2816494111150565,1.0,7.884696250145453,5.132624665340756,7.341859229930858,2.744718694135584,8.164422473767004,7.397827115517697,7.884808155695471,2.6665397284919976,7.334048753240114,3.0031389777384856,7.075069501675937,2.0649723468063854,7.534884096364907,2.8218073621239372,5.452341428626134,1.0,6.778501672222051,2.0229502099038577,7.527170901986635,1.9614094821707482,1.0,1.0,8.364323585859108,9.728257101781619,1.0,1.0
xJL,3.8325151994036606,2.41080053745269,5.0055472237208,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.934108567072558,1.0,1.0,1.0,5.028435952549901,10.0,5.110094478950472,10.0,5.009413925853039,8.962458729562673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xAB,4.755198175514508,5.400970823004956,5.214466941827679,10.0,1.0,1.0,4.972183638068168,7.1764577039491675,5.214299274364431,9.997660491377403,5.214466941827679,10.0,4.963759883259802,7.417122739773259,5.372936120053874,10.0,5.238549491752305,10.0,4.89908553004687,5.720066109785968,5.303567155187826,10.0,5.1237252652947305,10.0,1.0,1.0,1.0,1.0,5.214466941827679,10.0,5.214387968363527,10.0
xUK,3.2816851694055034,8.541921813058734,3.0705502974949486,6.428963581902311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2479516309842253,4.407893107487505,1.0,1.0,2.791454318032236,4.449710719457113,2.827768044115397,4.449710719457113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZAF,8.1082647775109,3.412587631504966,8.903495000172894,9.395041698398598,4.1010543423175925,1.0,6.8049989743020305,1.2477035433109565,7.4085091180783635,1.7642427878491658,7.346156842413311,1.6861876193333492,8.997264443347937,4.016239184718817,8.347550331346046,4.628312390331946,8.400513975877475,4.584855696853712,8.628094114396927,5.0371338424378935,8.252159937803777,3.3806518869471325,5.963809139094398,1.0,7.440931763452896,1.246402549907446,7.608813864297325,2.072091008043318,7.679211869122085,2.2048126769797673,1.0,1.0
MNE,4.835937032620896,3.3196940999406586,5.698466166389368,9.96944455723557,1.7621633425006955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.200659184063352,1.9217487702513922,4.366112649539231,3.0606686453670173,5.47555094877593,7.097545988396639,5.575998192100316,7.1882423877891535,4.903775280690978,3.2728100699896023,3.9017643380673284,1.8360918504838881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
COL,7.798306340592804,3.279711793953645,8.672239554749247,9.976521689784802,5.421954417845408,1.0,7.465878063815071,2.332216587453752,7.145918528850377,1.7799279598776385,7.487539814410908,2.380333951450555,8.060931278228228,2.2676268657989174,6.5277962725836725,1.177145802023474,8.580362452427163,8.279973500514258,8.810006129902712,9.167342152495099,4.9905242812240935,1.0,7.071187806605707,2.0125116185152336,5.618790156877951,1.0,7.446779789196961,2.291100547473338,8.104360951626255,4.701354474326975,8.119806013650626,4.792804165342033
BRA,8.683114903088557,3.305507808001065,9.508185948033432,9.412826278259454,5.432802248670224,1.0,9.223437434055764,6.401683593205108,9.01598791723412,4.903731550751392,8.84981952776143,4.0043627012060306,9.692625647305949,3.824322538200242,8.345616591092476,2.24551863577335,9.234379784923446,6.107633596910971,9.386493470955143,5.993786049281488,7.6316128095469615,1.2941316645247203,7.846482831402302,1.8036329352043399,6.609479702884782,1.0,1.0,1.0,8.096018014610092,1.882206538283937,8.096870590888608,1.8835891318234332
